id	biotype	type
WBGene00197333	ncRNA	genic
WBGene00198386	ncRNA	genic
WBGene00077683	protein_coding	genic
WBGene00015153	protein_coding	genic
WBGene00002061	protein_coding	genic
WBGene00235314	ncRNA	genic
WBGene00001177	protein_coding	genic
WBGene00169236	piRNA	genic
WBGene00219784	snoRNA	genic
WBGene00015152	protein_coding	genic
WBGene00015151	protein_coding	genic
WBGene00021413	protein_coding	genic
WBGene00021412	protein_coding	genic
WBGene00021414	protein_coding	genic
WBGene00018976	protein_coding	genic
WBGene00199654	ncRNA	genic
WBGene00200227	ncRNA	genic
WBGene00169451	piRNA	genic
WBGene00004496	protein_coding	genic
WBGene00018975	protein_coding	genic
WBGene00021411	protein_coding	genic
WBGene00000480	protein_coding	genic
WBGene00020999	protein_coding	genic
WBGene00021000	protein_coding	genic
WBGene00021004	protein_coding	genic
WBGene00021001	protein_coding	genic
WBGene00044512	protein_coding	genic
WBGene00021003	protein_coding	genic
WBGene00023356	pseudogene	genic
WBGene00005302	pseudogene	genic
WBGene00170056	piRNA	genic
WBGene00005303	protein_coding	genic
WBGene00021002	protein_coding	genic
WBGene00006648	protein_coding	genic
WBGene00022435	protein_coding	genic
WBGene00022434	protein_coding	genic
WBGene00235163	ncRNA	genic
WBGene00201724	ncRNA	genic
WBGene00202280	ncRNA	genic
WBGene00000838	protein_coding	genic
WBGene00044689	protein_coding	genic
WBGene00077643	protein_coding	genic
WBGene00017080	protein_coding	genic
WBGene00017082	protein_coding	genic
WBGene00005299	protein_coding	genic
WBGene00005301	protein_coding	genic
WBGene00005298	protein_coding	genic
WBGene00017083	protein_coding	genic
WBGene00019814	protein_coding	genic
WBGene00019817	protein_coding	genic
WBGene00019818	protein_coding	genic
WBGene00019815	protein_coding	genic
WBGene00006419	protein_coding	genic
WBGene00006172	protein_coding	genic
WBGene00019816	protein_coding	genic
WBGene00021981	protein_coding	genic
WBGene00044513	protein_coding	genic
WBGene00021983	protein_coding	genic
WBGene00018010	protein_coding	genic
WBGene00018011	protein_coding	genic
WBGene00018013	protein_coding	genic
WBGene00219932	snoRNA	genic
WBGene00003614	protein_coding	genic
WBGene00000022	protein_coding	genic
WBGene00044750	ncRNA	genic
WBGene00020708	protein_coding	genic
WBGene00020707	protein_coding	genic
WBGene00020706	protein_coding	genic
WBGene00020705	protein_coding	genic
WBGene00021450	protein_coding	genic
WBGene00021449	protein_coding	genic
WBGene00196358	ncRNA	genic
WBGene00021451	protein_coding	genic
WBGene00201032	ncRNA	genic
WBGene00022643	protein_coding	genic
WBGene00022642	protein_coding	genic
WBGene00022641	protein_coding	genic
WBGene00022640	protein_coding	genic
WBGene00022639	protein_coding	genic
WBGene00022638	protein_coding	genic
WBGene00005284	protein_coding	genic
WBGene00022637	protein_coding	genic
WBGene00022636	protein_coding	genic
WBGene00219773	lincRNA	genic
WBGene00022644	protein_coding	genic
WBGene00022645	protein_coding	genic
WBGene00021448	protein_coding	genic
WBGene00015259	protein_coding	genic
WBGene00015258	protein_coding	genic
WBGene00015257	protein_coding	genic
WBGene00015256	protein_coding	genic
WBGene00015255	protein_coding	genic
WBGene00170618	piRNA	genic
WBGene00015260	protein_coding	genic
WBGene00015254	protein_coding	genic
WBGene00005256	protein_coding	genic
WBGene00005257	protein_coding	genic
WBGene00005258	protein_coding	genic
WBGene00019744	protein_coding	genic
WBGene00003713	protein_coding	genic
WBGene00003688	protein_coding	genic
WBGene00019743	protein_coding	genic
WBGene00019742	protein_coding	genic
WBGene00019741	protein_coding	genic
WBGene00019745	protein_coding	genic
WBGene00019740	protein_coding	genic
WBGene00003689	protein_coding	genic
WBGene00003645	protein_coding	genic
WBGene00003720	protein_coding	genic
WBGene00166752	piRNA	genic
WBGene00020153	protein_coding	genic
WBGene00020152	protein_coding	genic
WBGene00003696	protein_coding	genic
WBGene00006233	protein_coding	genic
WBGene00003721	protein_coding	genic
WBGene00020151	protein_coding	genic
WBGene00006282	protein_coding	genic
WBGene00020154	protein_coding	genic
WBGene00004144	protein_coding	genic
WBGene00020014	protein_coding	genic
WBGene00005851	pseudogene	genic
WBGene00005260	protein_coding	genic
WBGene00005852	pseudogene	genic
WBGene00005853	pseudogene	genic
WBGene00020015	protein_coding	genic
WBGene00005854	protein_coding	genic
WBGene00020016	protein_coding	genic
WBGene00006119	pseudogene	genic
WBGene00005855	protein_coding	genic
WBGene00005600	pseudogene	genic
WBGene00020013	protein_coding	genic
WBGene00003648	protein_coding	genic
WBGene00003722	protein_coding	genic
WBGene00015759	protein_coding	genic
WBGene00015758	protein_coding	genic
WBGene00015757	protein_coding	genic
WBGene00015760	protein_coding	genic
WBGene00015761	protein_coding	genic
WBGene00015762	protein_coding	genic
WBGene00005899	protein_coding	genic
WBGene00005898	protein_coding	genic
WBGene00015756	protein_coding	genic
