target_id	length	eff_length	est_counts	tpm
Y110A7A.10	1787	1556.06	2	27.1009
F27C8.1	1940	1761	0	0
F07C3.7	1728	1549	0	0
F52H2.2	1739	1519.49	1	13.8766
T13A10.10a	1734	1555	0	0
T13A10.10b	1598	1419	0	0
C55C2.5a	1840	1661	0	0
C55C2.5b	1606	1427	0	0
C55C2.5c	1671	1492	0	0
C55C2.5d	1618	1439	0	0
T11F9.4a	1765	1586	0	0
T11F9.4b.1	1684	1505	0	0
T11F9.4b.2	1784	1605	0	0
F54D12.3	1503	1324	0	0
F28F9.4	1452	1273	0	0
Y53H1C.1a	2022	1834.4	4.83448	55.5694
Y53H1C.1b	1958	1776.71	0	0
C50F2.9	258	79.3918	0	0
C50F2.10	414	235	0	0
F54B8.5	270	91.1266	0	0
Y38H6C.22	381	202	0	0
T22H6.5	484	305	0	0
T22H6.7	646	467	0	0
M79.1a	4081	3883.69	3.49672e-07	1.89844e-06
M79.1b	4012	3812.5	0.184008	1.01767
M79.1c	3997	3804.97	0.815992	4.52184
C24F3.5a	4715	4536	0	0
C24F3.5b	4726	4547	0	0
F12B6.1a	6670	6491	0	0
F12B6.1b	6559	6380	0	0
Y39D8C.1	5545	5366	0	0
Y53C10A.9	4724	4545	0	0
AC3.3	1403	1224	0	0
F19G12.7	1719	1540	0	0
F31A3.1	729	550	0	0
Y5H2A.3	1020	841	0	0
Y105C5A.4	1008	829	0	0
C03A7.7	1174	995	0	0
C03A7.8	1317	1138	0	0
C03A7.14	1525	1346	0	0
R09F10.2	1137	958	0	0
F35A5.3	1271	1092	0	0
T01D1.6	1273	1094	0	0
W09B12.1.1	1984	1805	0	0
W09B12.1.2	2525	2346	0	0
Y44E3A.2	1995	1818.89	2	23.1849
Y48B6A.8	2168	1989	0	0
Y48B6A.7	1930	1751	0	0
C42D8.5a	3282	3101.03	1	6.79946
C42D8.5b	1560	1381	0	0
ZK455.1	3072	2885.76	13	94.987
F54H12.1a	2709	2512.18	20	167.865
F54H12.1b	2365	2176.6	0	0
F54H12.1c.1	2500	2305.92	0	0
F54H12.1c.2	2562	2364.14	0	0
K11G12.2	1888	1709	0	0
K11G12.7	1660	1481	0	0
K03F8.2	1800	1621	0	0
ZK973.5	1666	1487	0	0
T09A5.3	1692	1513	0	0
ZC504.2	1758	1579	0	0
C40C9.2	1909	1730	0	0
R02E12.8	1680	1501	0	0
D2092.3	1445	1266	0	0
R01E6.4	1926	1747	0	0
T05C12.2	1595	1416	0	0
F25G6.4	1506	1293.9	1	16.296
F25G6.3a	1797	1618	0	0
F25G6.3b	2176	1997	0	0
F53E10.2a	1359	1180	0	0
F53E10.2b	1616	1437	0	0
F28F8.1	1617	1438	0	0
C31H5.3a	1858	1679	0	0
C31H5.3b	1841	1662	0	0
R06A4.10a	1702	1523	0	0
R06A4.10b	1693	1514	0	0
R06A4.10c	1841	1662	0	0
F27B3.2	1410	1231	0	0
F48E3.7	1435	1256	0	0
F59B1.9	1718	1539	0	0
T04C12.6.1	1264	1121.7	0	0
T04C12.6.2	1366	1227.92	54.1196	929.317
T04C12.6.3	1346	1205.22	14.2897	249.999
T04C12.6.4	1277	1137.16	74.0944	1373.87
T04C12.5.1	1321	1168.05	0	0
T04C12.5.2	1335	1182.82	311.05	5544.87
T04C12.4.1	1480	1315.68	0	0
T04C12.4.2	1564	1402.62	81.0178	1217.92
T04C12.4.3	1559	1396.21	0	0
M03F4.2a	1672	1533.79	11.4749	157.747
M03F4.2b.1	1599	1455.36	0	0
M03F4.2b.2	1603	1459.13	0	0
M03F4.2b.3	1606	1463.03	0	0
M03F4.2b.4	1596	1452.23	0	0
M03F4.2b.5	1541	1400.13	5.95326	89.6537
M03F4.2b.6	1576	1433.26	3.09492e-07	4.55308e-06
M03F4.2c	1633	1490.7	0	0
T25C8.2.1	1343	1164	0	0
T25C8.2.2	1344	1165	0	0
F17C8.1	4068	3889	0	0
C10F3.3	3343	3164	0	0
C44F1.5	4064	3885	0	0
T01C2.1	3269	3090	0	0
F39C12.2a	2213	2034	0	0
F39C12.2b	2525	2346	0	0
F39C12.2c	2428	2249	0	0
F39C12.2d	2049	1870	0	0
F39C12.2e	2611	2432	0	0
F57F5.4a.1	1990	1811	0	0
F57F5.4a.2	2032	1853	0	0
F57F5.4b	1052	873	0	0
C04A11.4	3227	3026.55	2	13.9336
ZK154.7	2342	2150.24	2	19.6121
H15N14.1c	3023	2841.68	11.8094	87.6263
H15N14.1d	2851	2672	0	0
H15N14.1e	2794	2615	0	0
H15N14.1f	3119	2923.69	0	0
H15N14.1g	370	194.769	0.19058	20.6319
T20H4.4	1697	1467.99	6	86.1803
Y50D7A.7	1886	1736.03	1	12.1457
C02B4.1	4802	4623	0	0
F08C6.1a.1	3788	3609	0	0
F08C6.1a.2	3910	3731	0	0
F08C6.1b	1163	984	0	0
F08C6.1c.1	3027	2848	0	0
F08C6.1c.2	3149	2970	0	0
D2030.10a	3221	3042	0	0
D2030.10b	3222	3043	0	0
T14B1.2	1220	1041	0	0
C02H7.3a	4574	4395	0	0
C02H7.3b	4428	4249	0	0
F32A7.6	1780	1601	0	0
Y87G2A.4	946	767	0	0
B0334.8	3766	3564.72	5	29.575
F32A6.4a	2137	1934.4	0.999965	10.8998
F32A6.4b	2166	1962.34	3.47931e-05	0.000373851
F32A6.4c	375	196	0	0
Y62E10A.5a	598	423.911	3	149.22
Y62E10A.5b.1	579	404.993	0	0
Y62E10A.5b.2	574	397.336	0	0
F09E5.13	1231	1001.36	1.79899	37.881
C25A1.11a	1605	1367.86	2	30.8296
C25A1.11b	1599	1420	0	0
C41G7.5a	1841	1662	0	0
C41G7.5b	1803	1624	0	0
F58E10.4	1059	839.25	1	25.124
K07C11.2.1	1343	1126.84	19	355.526
K07C11.2.2	1421	1197.16	0	0
B0207.4	1121	926.403	10	227.604
C25A11.4a	4737	4558	0	0
C25A11.4b	2842	2663	0	0
C25A11.4c	3829	3650	0	0
C25A11.4d	4614	4435	0	0
C25A11.4e	3084	2905	0	0
D1022.7a.1	4264	4085	0	0
D1022.7a.2	4305	4126	0	0
D1022.7b.1	4279	4100	0	0
D1022.7b.2	4317	4138	0	0
D1022.7c.1	1953	1774	0	0
D1022.7c.2	1991	1794.2	1	11.7519
C12D8.10a	2119	1900.04	0	0
C12D8.10b	2134	1912.54	0	0
C12D8.10c	1996	1770.19	4	47.6453
F28H6.1a	2002	1800.68	1	11.7096
F28H6.1b	2381	2153.59	0	0
F48F7.1a	4587	4443.86	6	28.469
F48F7.1b	4968	4822.42	0	0
T07D3.7a	3247	3188.03	1.07953e-08	7.1399e-08
T07D3.7b	3156	3092.36	30	204.556
F54D8.3a.1	1608	1409.97	0	0
F54D8.3a.2	1703	1500.88	0	0
F54D8.3b.1	1607	1409.25	0	0
F54D8.3b.2	1702	1500.17	0	0
F54D8.3b.3	1666	1460.05	0	0
F54D8.3b.4	1387	1182.21	2	35.6709
K04F1.15	1641	1462	0	0
F36H1.6	2866	2687	0	0
T05H4.13a.1	1583	1387.9	0	0
